Day,Store,Group Size,Side,Start Time,End Time,Checkout Time,Flavor Tour,Notes
Sunday,Hatmakers,2,L,2025-07-27 16:33:56,2025-07-27 16:36:34,,No,partial
Sunday,Hatmakers,4,R,2025-07-27 16:37:34,2025-07-27 16:40:58,2025-07-27 16:40:44,Yes,
Sunday,Hatmakers,3,L,2025-07-27 16:36:40,2025-07-27 16:41:05,,Yes,
Sunday,Hatmakers,3,L,2025-07-27 16:41:09,2025-07-27 16:43:55,,Yes,
Sunday,Hatmakers,10,R,2025-07-27 16:41:02,2025-07-27 16:46:14,,No,"bigger group of 10, onluy three went up."
Sunday,Hatmakers,2,L,2025-07-27 16:46:22,2025-07-27 16:50:07,,Yes,missed transaction before this on this side
Sunday,Hatmakers,2,R,2025-07-27 16:46:18,2025-07-27 16:51:36,2025-07-27 16:50:52,Yes,
Sunday,Hatmakers,3,L,2025-07-27 16:50:11,2025-07-27 16:56:12,,Yes,
Sunday,Hatmakers,2,R,2025-07-27 16:51:40,2025-07-27 16:56:21,2025-07-27 16:55:37,Yes,two transactions
Sunday,Hatmakers,1,L,2025-07-27 16:56:15,2025-07-27 16:57:37,,No,
Sunday,Hatmakers,1,L,2025-07-27 16:57:47,2025-07-27 16:59:48,,No,
Sunday,Hatmakers,2,L,2025-07-27 16:59:55,2025-07-27 17:04:32,,Yes,
Sunday,Hatmakers,4,R,2025-07-27 16:56:23,2025-07-27 17:04:44,,Yes,
Sunday,Hatmakers,4,R,2025-07-27 17:05:25,2025-07-27 17:08:26,,No,
Sunday,Hatmakers,2,L,2025-07-27 17:04:36,2025-07-27 17:08:39,,Yes,
Sunday,Hatmakers,3,L,2025-07-27 17:08:42,2025-07-27 17:15:13,,Yes,
Sunday,Hatmakers,4,R,2025-07-27 17:08:30,2025-07-27 17:15:20,2025-07-27 17:13:38,Yes,multiple
Sunday,Hatmakers,3,L,2025-07-27 17:15:28,2025-07-27 17:19:28,,Yes,
Sunday,Hatmakers,3,R,2025-07-27 17:15:25,2025-07-27 17:20:32,2025-07-27 17:19:51,Yes,checked out furst
Sunday,Hatmakers,4,R,2025-07-27 17:20:40,2025-07-27 17:27:31,,Yes,
Sunday,Hatmakers,5,L,2025-07-27 17:19:33,2025-07-27 17:28:34,,Yes,
Sunday,Hatmakers,4,L,2025-07-27 17:28:37,2025-07-27 17:33:39,,Yes,
Sunday,Hatmakers,3,R,2025-07-27 17:27:41,2025-07-27 17:34:59,,Yes,
